Target,Group,Ring,Channel,Concentration
thermal,1,3,1,-100
thermal,1,135,1,-100
NegCntl,2,5,1,150000
NegCntl,2,6,1,150000
NegCntl,2,7,1,150000
NegCntl,2,8,1,150000
NegCntl,3,9,2,30000
NegCntl,3,10,2,30000
NegCntl,3,11,2,30000
NegCntl,3,12,2,30000
PosCtnl,4,13,1,150000
PosCtnl,4,14,1,150000
PosCtnl,4,15,1,150000
PosCtnl,4,16,1,150000
PosCtnl,5,17,2,30000
PosCtnl,5,18,2,30000
PosCtnl,5,19,2,30000
PosCtnl,5,20,2,30000
CCL4,6,21,1,150000
CCL4,6,22,1,150000
CCL4,6,23,1,150000
CCL4,6,24,1,150000
CCL4,7,25,2,30000
CCL4,7,26,2,30000
CCL4,7,27,2,30000
CCL4,7,28,2,30000
CCL3,8,29,1,150000
CCL3,8,30,1,150000
CCL3,8,31,1,150000
CCL3,8,32,1,150000
CCL3,9,33,2,30000
CCL3,9,34,2,30000
CCL3,9,35,2,30000
CCL3,9,36,2,30000
CCL2,10,37,1,150000
CCL2,10,38,1,150000
CCL2,10,39,1,150000
CCL2,10,40,1,150000
CCL2,11,41,2,30000
CCL2,11,42,2,30000
CCL2,11,43,2,30000
CCL2,11,44,2,30000
CCL8,12,45,1,150000
CCL8,12,46,1,150000
CCL8,12,47,1,150000
CCL8,12,48,1,150000
CCL8,13,49,2,30000
CCL8,13,50,2,30000
CCL8,13,51,2,30000
CCL8,13,52,2,30000
IL10,14,53,1,150000
IL10,14,54,1,150000
IL10,14,55,1,150000
IL10,14,56,1,150000
IL10,15,57,2,30000
IL10,15,58,2,30000
IL10,15,59,2,30000
IL10,15,60,2,30000
IL-1B,16,61,1,150000
IL-1B,16,62,1,150000
IL-1B,16,63,1,150000
IL-1B,16,64,1,150000
IL-1B,17,65,2,30000
IL-1B,17,66,2,30000
IL-1B,17,67,2,30000
IL-1B,17,68,2,30000
IL6,18,69,1,150000
IL6,18,70,1,150000
IL6,18,71,1,150000
IL6,18,72,1,150000
IL6,19,73,2,30000
IL6,19,74,2,30000
IL6,19,75,2,30000
IL6,19,76,2,30000
TNFa,20,77,1,150000
TNFa,20,78,1,150000
TNFa,20,79,1,150000
TNFa,20,80,1,150000
TNFa,21,81,2,30000
TNFa,21,82,2,30000
TNFa,21,83,2,30000
TNFa,21,84,2,30000
IL15,22,85,1,150000
IL15,22,86,1,150000
IL15,22,87,1,150000
IL15,22,88,1,150000
IL15,23,89,2,30000
IL15,23,90,2,30000
IL15,23,91,2,30000
IL15,23,92,2,30000
IP10,24,93,1,150000
IP10,24,94,1,150000
IP10,24,95,1,150000
IP10,24,96,1,150000
IP10,25,97,2,30000
IP10,25,98,2,30000
IP10,25,99,2,30000
IP10,25,100,2,30000
IL2,26,101,1,150000
IL2,26,102,1,150000
IL2,26,103,1,150000
IL2,26,104,1,150000
IL2,27,105,2,30000
IL2,27,106,2,30000
IL2,27,107,2,30000
IL2,27,108,2,30000
IFNg,28,109,1,150000
IFNg,28,110,1,150000
IFNg,28,111,1,150000
IFNg,28,112,1,150000
IFNg,29,113,2,30000
IFNg,29,114,2,30000
IFNg,29,115,2,30000
IFNg,29,116,2,30000
IL17,30,117,1,150000
IL17,30,118,1,150000
IL17,30,119,1,150000
IL17,30,120,1,150000
IL17,31,121,2,30000
IL17,31,122,2,30000
IL17,31,123,2,30000
IL17,31,124,2,30000
IL23,32,125,1,150000
IL23,32,126,1,150000
IL23,32,127,1,150000
IL23,32,128,1,150000
IL23,33,129,2,30000
IL23,33,130,2,30000
IL23,33,131,2,30000
IL23,33,132,2,30000
thermal,34,4,2,-100
thermal,34,136,2,-100
